ID,Texto,Respuesta1,Like_1,Love_1,Leave_1,Travel_1,Respuesta2,Like_2,Love_2,Leave_2,Travel_2
1,"Hello cutie, when i saw the match i stopped everything i was doing for you 7u7","Wow, you didn't need to stop eveything for this.",5,5,15,2,Good boy,5,30,-15,3
2,I would do anything for someone as good looking as you 7u7,"You don't have to... really, you don't",-5,-5,20,4,You really think so? Thank You,5,0,-5,5
3,"Woof, i think im starting to like your personality too :3","So, tell me something about you",10,-5,-10,6,I think you would like more things if we meet,-10,5,5,7
4,"Ah, sorry ma'am, I just got a bit too excited nwn","So, tell me something about you",5,-5,0,6,You're such a weirdo...,-15,-15,20,8
5,Mhm! my tail started wagging as soon as I saw your picture :3,Uh... okay? tell me something about you,-10,-5,10,6,I would love to touch it~,-5,10,0,7
6,"I'm Jacob White an extremely atractive lupine, as you can see uwu",Atractive? That's... a weird way to say mediocre,-10,-20,20,8,Wow youre really an alpha,0,10,-10,9
7,"W-woah miss, let's not go so fast please, I'm a bit shy >~< ",Sorry I didn't expect that after the 1st message,15,5,-5,10,You're no fun,-10,5,5,8
8,That's rude... I hope an apology or else... I'll get really angry >:(,Uh- how about you stop being a b***h?,-100,-100,15,0,I-I'm sorry my alpha...,20,20,-20,9
9,"Good... I like that nickname, my beta OwO",B-Beta? okay uwu ,10,30,-5,11,Actually I would rather you to just use my name please uwu,-5,-10,10,12
10,Sorry about that... The alpha wolf inside of me got control over my body -w-,No problem i liked it uwu,10,30,-5,11,"That happens to me too, unu",10,-10,0,12
11,"So, what did you like about me so much as to match? 7u7",You seem strong and fluffy,5,10,-5,15,I just wanted to hurt someone feelings,-15,-15,10,13
12,I dont think two alphas together would work,You have to be more open-minded,5,5,-5,15,You don't want this alpha to dominate you? 7u7,-5,-5,5,15
13,H-huh? what do you mean...? Are you betraying me like all my other friends? T-T,"I was just kidding, I would never do that uwu",10,10,-10,14,You had friends? that's surprising...,-100,-100,0,0
14,"Y-you scared me, promise you'll never betray me? uwu",Of course! I'll never betray you!,5,5,-5,15,"nah, I'm just making fun of you again lmao",-100,-100,0,0
15,"Us, the devs, apologize, we couldn't get ourselves to finish this conversation",uh...,0,0,0,1000,okay?,0,0,0,1000
